,MRSBE,MTSP,VBSS-1,VBSS-5,VBSS-10
Config2_6_Rand_Instance_0.txt,15306,13887,27301,21898,22667
Config2_6_Rand_Instance_1.txt,15739,13889.3986548938,26809,21942,21702
Config2_6_Rand_Instance_2.txt,15139,13621,25123,20664,20169
Config2_6_Rand_Instance_3.txt,15487,13856,27103,22929,22616
Config2_6_Rand_Instance_4.txt,15549,13798.1076527775,29331,25520,25584
Config2_6_Rand_Instance_5.txt,15308,13931,29395,24292,23832
Config2_6_Rand_Instance_6.txt,15879,13832.1047001988,30115,24742,24745
Config2_6_Rand_Instance_7.txt,15780,13839,28043,24570,24774
Config2_6_Rand_Instance_8.txt,15257,14069,27551,23382,23429
Config2_6_Rand_Instance_9.txt,15518,13763.0532961802,26723,22002,22589
Config2_6_Rand_Instance_10.txt,15394,13786,28067,23314,23251
Config2_6_Rand_Instance_11.txt,15152,13664.463674955,26988,20075,20377
Config2_6_Rand_Instance_12.txt,15348,13919,26003,21659,21636
Config2_6_Rand_Instance_13.txt,15336,13586,25897,21764,21861
Config2_6_Rand_Instance_14.txt,14932,13614.4660852107,27173,21435,21724
Config2_6_Rand_Instance_15.txt,15531,14032,28654,24859,25069
Config2_6_Rand_Instance_16.txt,15589,13802,28348,23803,24076
Config2_6_Rand_Instance_17.txt,15552,13968,27104,22337,21900
Config2_6_Rand_Instance_18.txt,15363,13682,24629,21066,20767
Config2_6_Rand_Instance_19.txt,15407,13959,26827,22297,21967
Config2_6_Rand_Instance_20.txt,15700,13665,27995,23990,23525
Config2_6_Rand_Instance_21.txt,15471,13748,27675,23358,23364
Config2_6_Rand_Instance_22.txt,15380,13631,27048,22205,21575
